title,organisation,lat,lon,region
Predator Free Port Hills - Mount Pleasant (www.predatorfreeporthills.org.nz),Summit Road Society,-43.5671,172.7208,Canterbury
Wairahi Trapping Group,Wairahi/Langs Beach Residents,-36.0497,174.5384,Northland
Pauanui Hill,John OBrien - personal project,-37.0289,175.8723,Waikato
Scorching Bay/Mahanga Bay trap network,Predator Free Miramar/Forest and Bird (Places for Penguins),-41.294,174.8319,Wellington
Predator Free Ngaio Reserves,Predator Free Ngaio,-41.2356,174.7689,Wellington
Langs Beach Estate,,-36.0566,174.5321,Northland
Faraday Rise,"Residents of Faraday Rise, Richmond 7020",-41.3606,173.1781,Nelson Marlborough
Baring Head,Baring Head volunteer trapping,-41.4022,174.8777,Wellington
Friends of Whatipu Predator Control,Friends of Whatipu,-37.0399,174.5073,Auckland
Woodside,,-43.5604,172.6692,Canterbury
Pest Free South Mākara,Predator Free South Mākara,-41.293,174.6908,Wellington
Charlie's Angels - town belt care,Charlie's Angels,-41.3155,174.7721,Wellington
Ruru Kaitiaki,Waipu Kiwis,-36.0436,174.5113,Northland
Te Motu Kairangi,Te Motu Kairangi Miramar Ecological Restoration,-41.3002,174.8257,Wellington
2G2 Block,Papa Taiao Students,-35.011,173.8283,Northland
Otanomomo Scientific Reserve,Forest And Bird South Otago,-46.2969,169.7347,Otago
Owaka Heads Reserve,Forest And Bird South Otago,-46.4891,169.7201,Otago
Penguin Bay Reserve,Forest And Bird South Otago,-46.5089,169.6931,Unknown
Waipū Kiwis,Waipu Kiwis,-36.0244,174.4828,Northland
Kapawiti Kaitiaki,,-36.0771,174.5461,Northland
Long Gully Bush Sanctuary,Wellington Natural Heritage Trust,-41.3096,174.7221,Wellington
Predator Free Polson Hill/Aokautere,Aokautere Community and PNCC,-40.3739,175.6707,Wellington
Tangihua Lions Lodge Conservation and Education project,Tangihua Lions lodge,-35.8906,174.1319,Northland
Tony Art's Farm,Sean & Josh,-40.2249,176.1635,Wellington
Predator Free - Cass Bay,Summit Road Society,-43.6034,172.6923,Canterbury
Predator Free Taupo Backyard Trapping,Predator Free Taupo,-38.667,176.0621,Waikato
Herald Island,Herald Island Environmental Group,-36.7792,174.6564,Auckland
Pa Hill,Debs & Ian,-36.0883,174.5211,Northland
Otekiho,Yellow-eyed Penguin Trust,-45.781,170.7273,Otago
Mahurangi/Te Muri Regional Parks,Mahurangi/Te Muri Regional Parks,-36.5175,174.7072,Auckland
Predator free Newlands/Paparangi/Woodridge,Predator free Newlands/Paparangi/Woodridge,-41.2222,174.8234,Wellington
Long Point / Irihuka Restoration Project,Yellow-eyed Penguin Trust,-46.5702,169.581,Unknown
Cosgrove Creek Restoration Project,Yellow-eyed Penguin Trust,-46.5586,169.6026,Unknown
Predator Free Pounawea,Forest And Bird South Otago - Pounawea Community,-46.4742,169.6916,Otago
Tautuku Restoration Project,"Forest And Bird.  Dunedin, South Otago, and Southland branches",-46.5457,169.359,Southland
Predator Free Initiative at Taupo DeBretts,Taupo DeBretts Spa Resort,-38.7029,176.099,Unknown
Aroha Cambridge Backyard Trappers,Predator Free Cambridge,-37.8916,175.4862,Waikato
South Ridge on Dalehill,Family,-44.9782,168.7071,Otago
Predator Free Waimairi Beach,,-43.4742,172.7112,Canterbury
Iwi Kiwi Waitangi,Te Puke Ki Waitangi Taonga Kaitiaki Trust,-35.2532,174.0152,Northland
Pest Free Esk Hill,Esk Hill Community,-39.4052,176.8642,East Coast
Friends of Dene Court Reserve,Friends of Dene Court Reserve provides a range of opportunities for you to be involved in pest and weed control The emphasis is on having fun and learning more about our special places and species in our local reserve.,-36.7646,174.7106,Auckland
John Street Reserve,Otatara Pestbusters,-46.4445,168.3187,Otago
Okiwi Community Pest Control,Okiwi residents + Great Barrier Island Environmental Trust,-36.1538,175.3953,Unknown
Duntulm Farm,,-40.9236,175.4765,Wellington
Hinahina Reserve,Forest And Bird South Otago,-46.5307,169.6561,Unknown
Predator Free Titahi Bay,Predator Free Porirua,-41.1083,174.8368,Wellington
Predator Free Morningside Western Springs,Predator Free Morningside Western Springs,-36.875,174.7351,Auckland
Starboard Arm,West Land Inc,-36.4047,174.8398,Unknown
Starboard Arm,West Land Inc,-36.4039,174.8406,Unknown
Omataroa Kiwi Project,Omataroa Kaitiakis Ltd,-38.0737,176.8794,Bay of Plenty
KAPOW (Arthur's Point),KAPOW Queenstown - Keeping Arthurs Point's Original Wildlife,-44.9869,168.6536,Otago
"Brynderwyn Barrier (Atlas, Sellars/Erikson, Hawleys, Cullens, Baldrock, Kenny)",Trappers Retreat,-36.102,174.4644,Northland
Harper Delta Trapping for Nesting Braided River Birds,Trustpower Limited,-43.2332,171.4583,West Coast
Predator Free Island Bay,Predator Free Island Bay,-41.3401,174.7686,Wellington
Predator Free Whitby,Predator Free Whitby,-41.117,174.8963,Wellington
Waikokomiko Gorge Restoration,Mark Mitchell,-39.3611,176.7785,East Coast
Te Kauri-Waikūkū Reserve,Te Kauri-Waikūkū Trust,-38.0745,174.9775,Waikato
LRCG 444,Lund Road Care Group,-37.6166,175.8795,Waikato
LRCG 449,Lund Road Care Group,-37.6175,175.8776,Waikato
LRCG 449/1,Lund Road Care Group,-37.617,175.8766,Waikato
LRCG 427,Lund Road Care Group,-37.6172,175.8785,Waikato
LRCG 450,Lund Road Care Group,-37.6138,175.8777,Waikato
LRCG 472,Lund Road Care Group,-37.6139,175.8754,Waikato
LRCG 520,Lund Road Care Group,-37.614,175.8717,Waikato
Gammons Kiwi recovery project,Hancock Forest Management NZ Ltd,-35.5861,173.7805,Northland
Kaitoke School rat trapping,,-36.2572,175.4733,Unknown
Moturoa/Rabbit Island Trapping Group (Fish & Game),Fish & Game,-41.2768,173.1671,Nelson Marlborough
Te Arai Forest Troop,,-36.1686,174.5721,Northland
Maungawhau Urban Trappers,Maungawhau Urban Trappers,-36.8743,174.7685,Auckland
Turanga Creek S / Clifton MS,Graham Budd,-36.9144,174.9653,Auckland
Predator Free Ernle Clark,Predator Free Ernle Clark,-43.5639,172.6337,Canterbury
Operation 340,Anstey Family,-39.4027,176.8587,East Coast
Predator Free Tirohanga and Harbourview,Predator Free Tirohanga and Harbourview,-41.199,174.9043,Wellington
Fernglen,Fernglen Native Plant Gardens,-36.8109,174.7062,Auckland
Heslip Covenant HVA,Warren Heslip,-46.222,168.8718,Otago
Pukerua Bay Scientific Reserve Mustelid Trapping,Friends of Mana Island,-41.0309,174.879,Wellington
Oruatua Conservation Area,Project Tongariro,-38.9124,175.8982,Unknown
Waitetoko,Project Tongariro,-38.909,175.9362,Unknown
Waimarino,Project Tongariro,-38.9375,175.8536,Unknown
Motuoapa,Project Tongariro,-38.9344,175.8669,Unknown
Pest Free Peninsulas Kaipara,Pest Free Peninsulas,-36.1847,174.199,Northland
Home,,-39.4194,176.855,East Coast
